,id_turma,discente,unidade,nota,media_final,descricao,numero_total_faltas,disciplina,semestre
67,51700,1bf03e50245d206482d1bc2ac76ed77e,2,9.5,9.7,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
68,51700,1bf03e50245d206482d1bc2ac76ed77e,3,10.0,9.7,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
69,51700,6243b87ed0a2f53524c6322bc4b19d6f,1,6.1,6.3,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
70,51700,6243b87ed0a2f53524c6322bc4b19d6f,2,6.8,6.3,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
71,51700,6243b87ed0a2f53524c6322bc4b19d6f,3,6.0,6.3,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
72,51700,74986138228105936622a9b321d3821a,1,9.6,9.9,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
73,51700,74986138228105936622a9b321d3821a,2,10.0,9.9,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
74,51700,74986138228105936622a9b321d3821a,3,10.0,9.9,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
75,51700,a92213ede22f67b13df89ec01d55447a,3,8.0,8.8,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
76,51700,a92213ede22f67b13df89ec01d55447a,1,9.6,8.8,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
77,51700,a92213ede22f67b13df89ec01d55447a,2,8.8,8.8,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
78,51700,ec9c0d7b33aadbaef8564aaa9c08f4d4,3,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,32,PENSAMENTO COMPUTACIONAL,2020.1
79,51700,ec9c0d7b33aadbaef8564aaa9c08f4d4,2,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,32,PENSAMENTO COMPUTACIONAL,2020.1
80,51700,ec9c0d7b33aadbaef8564aaa9c08f4d4,1,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,32,PENSAMENTO COMPUTACIONAL,2020.1
81,51700,7c76bfd7f3085a55e9d265d8c808914e,1,9.7,8.8,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
82,51700,7c76bfd7f3085a55e9d265d8c808914e,2,10.0,8.8,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
83,51700,7c76bfd7f3085a55e9d265d8c808914e,3,6.7,8.8,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
84,51700,9ac53d99f73d37875000ece697435457,1,9.4,8.6,APROVADO,4,PENSAMENTO COMPUTACIONAL,2020.1
85,51700,9ac53d99f73d37875000ece697435457,2,8.0,8.6,APROVADO,4,PENSAMENTO COMPUTACIONAL,2020.1
86,51700,9ac53d99f73d37875000ece697435457,3,8.4,8.6,APROVADO,4,PENSAMENTO COMPUTACIONAL,2020.1
87,51700,f910031e1f44df7aa6438faa2ebf70ef,1,9.7,8.7,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
88,51700,f910031e1f44df7aa6438faa2ebf70ef,2,10.0,8.7,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
89,51700,f910031e1f44df7aa6438faa2ebf70ef,3,6.4,8.7,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
90,51700,3e159a820bac1673424e8e74e3104711,1,7.5,7.8,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
91,51700,3e159a820bac1673424e8e74e3104711,2,9.6,7.8,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
