,id_turma,discente,docente,unidade,nota,media_final,numero_total_faltas,aprovado,reposicao,reprovadoporfalta,semestre
325763,13437,0.34972367554909994,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325764,13437,0.34972367554909994,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325765,13437,0.32538806023066624,0.1111111111111111,0.0,0.6,0.22000000000000003,0.0,0.0,0.0,0.0,2018.1
325766,13437,0.32538806023066624,0.1111111111111111,0.5,0.05,0.22000000000000003,0.0,0.0,0.0,0.0,2018.1
325767,13437,0.32538806023066624,0.1111111111111111,1.0,0.0,0.22000000000000003,0.0,0.0,0.0,0.0,2018.1
325768,13437,0.18686540940283858,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325769,13437,0.18686540940283858,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325770,13437,0.18686540940283858,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325774,13437,0.2260986036591553,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325775,13437,0.2260986036591553,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325776,13437,0.2260986036591553,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325777,13437,0.19217393366668184,0.1111111111111111,0.0,1.0,0.9199999999999999,0.0,1.0,0.0,0.0,2018.1
325778,13437,0.19217393366668184,0.1111111111111111,0.5,0.9199999999999999,0.9199999999999999,0.0,1.0,0.0,0.0,2018.1
325779,13437,0.19217393366668184,0.1111111111111111,1.0,0.8400000000000001,0.9199999999999999,0.0,1.0,0.0,0.0,2018.1
325780,13437,0.15744992915393058,0.1111111111111111,0.0,0.9,0.3,0.0,0.0,0.0,0.0,2018.1
325781,13437,0.15744992915393058,0.1111111111111111,0.5,0.0,0.3,0.0,0.0,0.0,0.0,2018.1
325782,13437,0.15744992915393058,0.1111111111111111,1.0,0.0,0.3,0.0,0.0,0.0,0.0,2018.1
325783,13437,0.30714163332870703,0.1111111111111111,0.0,0.6,0.47000000000000003,0.0,0.0,0.0,0.0,2018.1
325784,13437,0.30714163332870703,0.1111111111111111,0.5,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,2018.1
325785,13437,0.30714163332870703,0.1111111111111111,1.0,0.45,0.47000000000000003,0.0,0.0,0.0,0.0,2018.1
325792,13437,0.5432890281462665,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325793,13437,0.5432890281462665,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325794,13437,0.5432890281462665,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325795,13437,0.7855708877742761,0.1111111111111111,0.0,0.5,0.3,0.0,0.0,0.0,0.0,2018.1
325796,13437,0.7855708877742761,0.1111111111111111,0.5,0.0,0.3,0.0,0.0,0.0,0.0,2018.1
325797,13437,0.7855708877742761,0.1111111111111111,1.0,0.4,0.3,0.0,0.0,0.0,0.0,2018.1
325798,13437,0.9806480284964587,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325799,13437,0.9806480284964587,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325800,13437,0.9806480284964587,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325801,13437,0.7099667338391916,0.1111111111111111,0.0,0.5,0.63,0.0,1.0,0.0,0.0,2018.1
325802,13437,0.7099667338391916,0.1111111111111111,0.5,0.74,0.63,0.0,1.0,0.0,0.0,2018.1
325803,13437,0.7099667338391916,0.1111111111111111,1.0,0.65,0.63,0.0,1.0,0.0,0.0,2018.1
399247,25586,0.9696306756488023,1.0,0.0,1.0,1.0,0.11764705882352941,1.0,0.0,0.0,2018.2
399248,25586,0.9696306756488023,1.0,0.5,1.0,1.0,0.11764705882352941,1.0,0.0,0.0,2018.2
399249,25586,0.9696306756488023,1.0,1.0,1.0,1.0,0.11764705882352941,1.0,0.0,0.0,2018.2
399250,25586,0.46237151431208584,1.0,0.0,1.0,0.8699999999999999,0.20588235294117646,1.0,0.0,0.0,2018.2
399251,25586,0.46237151431208584,1.0,0.5,1.0,0.8699999999999999,0.20588235294117646,1.0,0.0,0.0,2018.2
399252,25586,0.46237151431208584,1.0,1.0,0.6,0.8699999999999999,0.20588235294117646,1.0,0.0,0.0,2018.2
399253,25586,0.49357489545246225,1.0,0.0,0.8699999999999999,0.86,0.17647058823529413,1.0,0.0,0.0,2018.2
399254,25586,0.49357489545246225,1.0,0.5,0.72,0.86,0.17647058823529413,1.0,0.0,0.0,2018.2
399255,25586,0.49357489545246225,1.0,1.0,1.0,0.86,0.17647058823529413,1.0,0.0,0.0,2018.2
399256,25586,0.7019291255187047,1.0,0.0,0.9400000000000001,0.9800000000000001,0.058823529411764705,1.0,0.0,0.0,2018.2
399257,25586,0.7019291255187047,1.0,0.5,1.0,0.9800000000000001,0.058823529411764705,1.0,0.0,0.0,2018.2
399258,25586,0.7019291255187047,1.0,1.0,1.0,0.9800000000000001,0.058823529411764705,1.0,0.0,0.0,2018.2
399259,25586,0.5080215564192325,1.0,0.0,1.0,0.61,0.23529411764705882,0.0,0.0,0.0,2018.2
399260,25586,0.5080215564192325,1.0,0.5,0.67,0.61,0.23529411764705882,0.0,0.0,0.0,2018.2
399261,25586,0.5080215564192325,1.0,1.0,0.1,0.61,0.23529411764705882,0.0,0.0,0.0,2018.2
399262,25586,0.502280323059762,1.0,0.0,0.22999999999999998,0.15,0.20588235294117646,0.0,0.0,0.0,2018.2
399263,25586,0.502280323059762,1.0,0.5,0.21000000000000002,0.15,0.20588235294117646,0.0,0.0,0.0,2018.2
399264,25586,0.502280323059762,1.0,1.0,0.0,0.15,0.20588235294117646,0.0,0.0,0.0,2018.2
399265,25586,0.5592591549962155,1.0,0.5,1.0,1.0,0.029411764705882353,1.0,0.0,0.0,2018.2
399266,25586,0.5592591549962155,1.0,0.0,1.0,1.0,0.029411764705882353,1.0,0.0,0.0,2018.2
399267,25586,0.5592591549962155,1.0,1.0,1.0,1.0,0.029411764705882353,1.0,0.0,0.0,2018.2
399268,25586,0.05433825405035116,1.0,0.0,1.0,0.75,0.14705882352941177,1.0,0.0,0.0,2018.2
399269,25586,0.05433825405035116,1.0,0.5,0.95,0.75,0.14705882352941177,1.0,0.0,0.0,2018.2
399270,25586,0.05433825405035116,1.0,1.0,0.1,0.75,0.14705882352941177,1.0,0.0,0.0,2018.2
399271,25586,0.5547135876314322,1.0,0.0,0.9,0.6,0.7647058823529411,0.0,0.0,1.0,2018.2
399272,25586,0.5547135876314322,1.0,0.5,0.9,0.6,0.7647058823529411,0.0,0.0,1.0,2018.2
399273,25586,0.5547135876314322,1.0,1.0,0.0,0.6,0.7647058823529411,0.0,0.0,1.0,2018.2
399274,25586,0.178342903242771,1.0,0.0,1.0,1.0,0.17647058823529413,1.0,0.0,0.0,2018.2
399275,25586,0.178342903242771,1.0,0.5,1.0,1.0,0.17647058823529413,1.0,0.0,0.0,2018.2
399276,25586,0.178342903242771,1.0,1.0,1.0,1.0,0.17647058823529413,1.0,0.0,0.0,2018.2
399277,25586,0.2789014231274549,1.0,0.0,0.9199999999999999,0.74,0.23529411764705882,1.0,0.0,0.0,2018.2
399278,25586,0.2789014231274549,1.0,0.5,1.0,0.74,0.23529411764705882,1.0,0.0,0.0,2018.2
399279,25586,0.2789014231274549,1.0,1.0,0.3,0.74,0.23529411764705882,1.0,0.0,0.0,2018.2
399280,25586,0.8231105362211855,1.0,0.0,0.86,0.6900000000000001,0.14705882352941177,1.0,0.0,0.0,2018.2
399281,25586,0.8231105362211855,1.0,0.5,0.7,0.6900000000000001,0.14705882352941177,1.0,0.0,0.0,2018.2
399282,25586,0.8231105362211855,1.0,1.0,0.5,0.6900000000000001,0.14705882352941177,1.0,0.0,0.0,2018.2
399286,25586,0.7132523774420786,1.0,0.0,0.63,0.8800000000000001,0.08823529411764706,1.0,0.0,0.0,2018.2
399287,25586,0.7132523774420786,1.0,0.5,1.0,0.8800000000000001,0.08823529411764706,1.0,0.0,0.0,2018.2
399288,25586,0.7132523774420786,1.0,1.0,0.1,0.8800000000000001,0.08823529411764706,1.0,0.0,0.0,2018.2
399289,25586,0.952527053824212,1.0,0.0,1.0,0.82,0.23529411764705882,1.0,0.0,0.0,2018.2
399290,25586,0.952527053824212,1.0,0.5,0.77,0.82,0.23529411764705882,1.0,0.0,0.0,2018.2
399291,25586,0.952527053824212,1.0,1.0,0.7,0.82,0.23529411764705882,1.0,0.0,0.0,2018.2
399292,25586,0.39798097781480773,1.0,0.0,1.0,1.0,0.11764705882352941,1.0,0.0,0.0,2018.2
399293,25586,0.39798097781480773,1.0,0.5,1.0,1.0,0.11764705882352941,1.0,0.0,0.0,2018.2
399294,25586,0.39798097781480773,1.0,1.0,1.0,1.0,0.11764705882352941,1.0,0.0,0.0,2018.2
399295,25586,0.6104025188803968,1.0,0.0,0.9800000000000001,0.97,0.20588235294117646,1.0,0.0,0.0,2018.2
399296,25586,0.6104025188803968,1.0,0.5,0.9400000000000001,0.97,0.20588235294117646,1.0,0.0,0.0,2018.2
399297,25586,0.6104025188803968,1.0,1.0,1.0,0.97,0.20588235294117646,1.0,0.0,0.0,2018.2
399298,25586,0.9794403135433923,1.0,0.0,0.8,0.71,0.08823529411764706,1.0,0.0,0.0,2018.2
399299,25586,0.9794403135433923,1.0,0.5,0.63,0.71,0.08823529411764706,1.0,0.0,0.0,2018.2
399300,25586,0.9794403135433923,1.0,1.0,0.7,0.71,0.08823529411764706,1.0,0.0,0.0,2018.2
399301,25586,0.7143341551973659,1.0,0.0,0.86,0.95,0.23529411764705882,1.0,0.0,0.0,2018.2
399302,25586,0.7143341551973659,1.0,0.5,0.9800000000000001,0.95,0.23529411764705882,1.0,0.0,0.0,2018.2
399303,25586,0.7143341551973659,1.0,1.0,1.0,0.95,0.23529411764705882,1.0,0.0,0.0,2018.2
399307,25586,0.1319925166838947,1.0,0.0,0.86,0.47000000000000003,0.17647058823529413,0.0,0.0,0.0,2018.2
399308,25586,0.1319925166838947,1.0,0.5,0.5599999999999999,0.47000000000000003,0.17647058823529413,0.0,0.0,0.0,2018.2
399309,25586,0.1319925166838947,1.0,1.0,0.0,0.47000000000000003,0.17647058823529413,0.0,0.0,0.0,2018.2
