,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,id_curso,codigo,disciplina,docente,semestre,excluido
279005,a1dc8d33f283c91ae47a7fe7d49d34a6,3,0.0,0.5,False,False,False,14,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279006,3e91dd4288bc71eb61149f0fad33b263,1,5.5,4.7,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279007,3e91dd4288bc71eb61149f0fad33b263,2,4.2,4.7,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279008,3e91dd4288bc71eb61149f0fad33b263,3,4.5,4.7,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279012,00451143ff85cced810a59ae7dcc61e6,2,3.8,5.6,True,False,False,0,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279013,00451143ff85cced810a59ae7dcc61e6,3,3.5,5.6,True,False,False,0,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279014,00451143ff85cced810a59ae7dcc61e6,1,7.0,5.6,True,False,False,0,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279015,487fbcba8f01efe5db6ba9d73eee9521,1,3.0,1.8,False,False,False,12,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279016,487fbcba8f01efe5db6ba9d73eee9521,2,2.5,1.8,False,False,False,12,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279017,487fbcba8f01efe5db6ba9d73eee9521,3,0.0,1.8,False,False,False,12,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279018,851fe8913fe7e4e3bb131ee4a393bcb6,2,4.5,3.8,False,False,False,2,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279019,851fe8913fe7e4e3bb131ee4a393bcb6,1,3.5,3.8,False,False,False,2,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279020,851fe8913fe7e4e3bb131ee4a393bcb6,3,1.5,3.8,False,False,False,2,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
328760,07c56ddbeec2a604dfc40d911cd604ea,1,10.0,4.6,False,False,False,0,REPROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328761,07c56ddbeec2a604dfc40d911cd604ea,2,3.9,4.6,False,False,False,0,REPROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328762,07c56ddbeec2a604dfc40d911cd604ea,3,0.0,4.6,False,False,False,0,REPROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328766,f2e563b162d47b0f3e651d0444d7908a,1,9.0,8.1,True,False,False,17,APROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328767,f2e563b162d47b0f3e651d0444d7908a,2,7.5,8.1,True,False,False,17,APROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328768,f2e563b162d47b0f3e651d0444d7908a,3,7.8,8.1,True,False,False,17,APROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328772,af411d3564d0980b1ceb2c8b60e808a2,1,6.4,6.0,True,False,False,16,APROVADO POR NOTA,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328773,af411d3564d0980b1ceb2c8b60e808a2,2,6.5,6.0,True,False,False,16,APROVADO POR NOTA,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328774,af411d3564d0980b1ceb2c8b60e808a2,3,5.0,6.0,True,False,False,16,APROVADO POR NOTA,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328775,f3caa95604e0a8a412e8d93a3e498d5f,1,8.5,8.4,True,False,False,10,APROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
328776,f3caa95604e0a8a412e8d93a3e498d5f,2,8.5,8.4,True,False,False,10,APROVADO,GRADUAÇÃO,48772,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2014.2,False
