,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,codigo,disciplina,docente,semestre,reprovadomatematicamente
152641,374a9cda787f87ea502269e9fc4c6aa8,1,10.0,10.0,True,False,False,3,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152642,374a9cda787f87ea502269e9fc4c6aa8,2,10.0,10.0,True,False,False,3,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152643,374a9cda787f87ea502269e9fc4c6aa8,3,10.0,10.0,True,False,False,3,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152644,e7d17a072c91b4c90b8d7fb7c70ec8db,1,10.0,9.9,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152645,e7d17a072c91b4c90b8d7fb7c70ec8db,2,9.6,9.9,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152646,e7d17a072c91b4c90b8d7fb7c70ec8db,3,10.0,9.9,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152647,fce07dbaad19f5b2d010a3c83ce6557f,1,9.1,8.8,True,False,False,9,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152648,fce07dbaad19f5b2d010a3c83ce6557f,2,10.0,8.8,True,False,False,9,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152649,fce07dbaad19f5b2d010a3c83ce6557f,3,7.2,8.8,True,False,False,9,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152656,ff932f1efc71f49d13bafb3c9a9711c4,1,4.2,5.0,True,False,False,11,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152657,ff932f1efc71f49d13bafb3c9a9711c4,2,3.3,5.0,True,False,False,11,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152658,ff932f1efc71f49d13bafb3c9a9711c4,3,2.3,5.0,True,False,False,11,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152659,f36b5969e870fca4689ccabc5eb412d2,1,2.6,5.0,True,False,False,8,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152660,f36b5969e870fca4689ccabc5eb412d2,2,5.1,5.0,True,False,False,8,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152661,f36b5969e870fca4689ccabc5eb412d2,3,4.9,5.0,True,False,False,8,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152662,9367faa78e1994f3861499e75f7f61e9,1,10.0,6.9,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152663,9367faa78e1994f3861499e75f7f61e9,2,6.4,6.9,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152664,9367faa78e1994f3861499e75f7f61e9,3,4.2,6.9,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152665,b5c6ce0b71811530c2d8f3406a9026a9,1,10.0,9.6,True,False,False,3,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152666,b5c6ce0b71811530c2d8f3406a9026a9,2,9.7,9.6,True,False,False,3,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152667,b5c6ce0b71811530c2d8f3406a9026a9,3,9.0,9.6,True,False,False,3,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152668,2013f534c65d77dc89122c35df697415,1,8.0,7.4,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152669,2013f534c65d77dc89122c35df697415,2,8.6,7.4,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152670,2013f534c65d77dc89122c35df697415,3,5.6,7.4,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
325705,d52ada8aba0dae0c5e8eacb9c4dd9582,1,0.0,0.0,False,False,False,0,REPROVADO,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325706,d52ada8aba0dae0c5e8eacb9c4dd9582,2,0.0,0.0,False,False,False,0,REPROVADO,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325707,d52ada8aba0dae0c5e8eacb9c4dd9582,3,0.0,0.0,False,False,False,0,REPROVADO,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
